t [s],x [m],y [m],yaw [rad]
9.200000000000001,1.9752544729796833,0.38680902535264594,0.0
9.3,1.996731562575516,0.3810131029606705,0.0
9.4,2.0176759878999055,0.37387150158598176,0.0
9.5,2.0381028875787353,0.36541226088959583,0.0
9.600000000000001,2.0580534709813603,0.3557200697872924,0.0
9.700000000000001,2.0775690104179305,0.34487975395923687,0.0
9.8,2.096690778198599,0.3329761390855934,0.0
9.9,2.1154600466335145,0.3200940508465273,0.0
10.0,2.1339180880328295,0.3063183149222028,0.0
10.100000000000001,2.1521061747066947,0.2917337569927848,0.0
10.200000000000001,2.1700655789652603,0.27642520273843807,0.0
10.3,2.1878375731186783,0.26047747783932784,0.0
10.4,2.2054634294770987,0.24397540797561804,0.0
10.5,2.2229844203506737,0.22700381882747422,0.0
10.600000000000001,2.2404418180495536,0.20964753607506006,0.0
10.700000000000001,2.257876510188383,0.19199249341325902,0.0
10.8,2.275318158320749,0.17415695826762198,0.0
10.9,2.292783692447549,0.15629586796897094,0.0
11.0,2.310289355280235,0.13856613940549897,0.0
11.100000000000001,2.327851389530255,0.12112468946540038,0.0
11.200000000000001,2.3454860379090596,0.10412843503686887,0.0
11.3,2.3632095431280984,0.08773429300809864,0.0
11.4,2.3810381478988205,0.07209918026728285,0.0
11.5,2.398988094932677,0.057380013702615904,0.0
11.600000000000001,2.4170756269411173,0.04373371020229086,0.0
11.700000000000001,2.435316986635591,0.031317186654502574,0.0
11.8,2.4537284167275475,0.02028735994744408,0.0
11.9,2.4723261599284374,0.010801146969309679,0.0
12.0,2.491126458949711,0.003015464608292759,0.0
12.100000000000001,2.5101486634519463,0.0,0.0
12.200000000000001,2.5294739023873216,0.0,0.0
12.3,2.549240141243633,0.0,0.0
12.4,2.56958746175122,0.0,0.0
12.5,2.5906559456404223,0.0,0.019027492558142962
12.600000000000001,2.6125856746415805,0.0,0.05307124609652898
12.700000000000001,2.6355167304850315,0.0,0.0741236102554222
12.8,2.659589194901117,0.0,0.08357663483880187
12.9,2.6849431496201754,0.0,0.0829358768269794
13.0,2.7117186763725476,0.0,0.07369594244540847
13.100000000000001,2.740055856888573,0.0,0.057279750255982316
13.200000000000001,2.770048007125268,0.00087567547023983,0.037425103302578325
13.3,2.8012362681375396,0.0017881484497654719,0.021803272562173227
13.4,2.832801449949983,0.002275499797621164,0.009535356611353322
13.5,2.863918170652484,0.0024138618058534623,0.0
13.600000000000001,2.893761048334931,0.002279366766508945,0.0
13.700000000000001,2.921504701087209,0.0019481469716341963,0.0
13.8,2.946323746999206,0.0014963347132757833,0.0
13.9,2.9673928041608084,0.001000062283480296,0.0
14.0,2.9838864906619036,0.0005354619742942938,0.0
14.100000000000001,2.994979424592377,0.00017866607776436012,0.0
14.200000000000001,2.9998462240421175,5.8068859370725284e-06,0.0
14.3,2.99766150710101,9.301669085901021e-05,3.1010806099737493
